职位,薪资,公司,所在地,要求
运营助理（实习）,120-150元/天,AUTOBEST,上海·长宁区·中山公园,4天/周6个月大专
电竞视频运营实习生,150-180元/天,圣剑网络,上海·浦东新区·张江,5天/周6个月大专
运营PT,150-180元/天,金仪工贸,上海·嘉定区·嘉定镇,经验不限大专
车辆运营,8-10K,哈啰出行,上海·宝山区·泗塘,经验不限大专
运营实习生,3-4K,携银科技,上海·徐汇区·徐家汇,经验不限大专
娱乐直播运营、运营主管（经验者从优）,8-13K,超己传媒,上海·闵行区·浦江,经验不限学历不限
运营主管,6-8K,上海嘉域实业有限公司,上海·浦东新区·临港,5-10年学历不限
分销平台运营/电商渠道运营,7-10K,本来生活网,上海,1-3年大专
物流运营,9-12K·13薪,美团服务体验中心,上海·闵行区·七宝,1-3年大专
构美（上海）招募抖音直播运营、跟播,5-8K,牵牛娱乐,上海·嘉定区·江桥,经验不限学历不限
文案策划/内容运营,9-12K·13薪,三茘,上海·杨浦区·东外滩,5-10年大专
电商运营专员/天猫/京东运营专员/助理,6-8K·14薪,凯淳实业,上海·徐汇区·徐家汇,经验不限大专
运营实习生,120-180元/天,1药网,上海·浦东新区·张江,3天/周3个月本科
电商运营助理,5-8K,泰尔佳,上海·闵行区·华漕,在校/应届大专
运营专员,12-18K,慧明软件,上海·静安区·大宁,5-10年学历不限
小红书运营实习生,180-220元/天,Miomi,上海,3天/周6个月大专
用户运营,5-6K·13薪,微创软件,上海·浦东新区·北蔡,1-3年大专
天猫运营专员 - 奢品服饰箱包G08721,10-15K,宝尊电商,上海·静安区·彭浦镇,1-3年大专
运营专员早九晚六不加班8K-12K福利待遇好,8-12K,珍岛集团,上海·静安区·汶水路,经验不限本科
社群运营实习生,150-200元/天,享库存,上海·徐汇区·漕河泾,5天/周3个月学历不限
活动运营,15-30K,淘源科技,上海·普陀区·真如,5-10年大专
运营实习生,100-150元/天,时趣互动,上海·长宁区·仙霞,3天/周3个月大专
联合办公运营专员（上市公司+晋升机会多）,5-10K·13薪,创富港,上海·黄浦区·老西门,经验不限学历不限
新媒体运营,6-9K,成都医云科技有限公司,上海·徐汇区·龙华,经验不限大专
短视频运营,9-14K,飓义文化,上海·长宁区·仙霞,经验不限学历不限
小米效果广告运营实习生,150-180元/天,小米,上海·徐汇区·漕河泾,4天/周6个月本科
2022校招-IT运营-基础架构系统工程师,10-15K,特斯拉 Tesla,上海·浦东新区·临港,在校/应届本科
运营管培生,8-12K,食亨,上海·虹口区·凉城,在校/应届硕士
电商运营（淘系&京东）,5-10K·14薪,凯诘电子商务,上海,经验不限学历不限
司管运营,7-9K,盛大汽车,上海·静安区·大宁,3-5年大专
运营总监,18-20K,21世纪不动产华东,上海,5-10年本科
运营经理,15-20K,顺丰集团,上海·普陀区·光新,5-10年本科
运营助理,7-10K,杭州点燃网络科技,上海·闵行区·虹桥,经验不限大专
销售运营,14-28K,百安居,上海·浦东新区·世纪公园,5-10年大专
运营实习生（IT方向）,120-150元/天,红星美凯龙,上海·闵行区·华漕,3天/周6个月大专
亚马逊运营,7-12K·13薪,柏宜照明,上海·青浦区·青浦城区,1年以内大专
新媒体运营专员,8-12K,上海美凯龙爱家房地产,上海·普陀区·武宁,经验不限大专
