职位,薪资,公司,所在地,要求
JAVA,18-30K·14薪,米夫科技,上海·闵行区·浦江,5-10年本科
Java开发实习生,150-180元/天,北京伯凯科技有限公司,上海,3天/周3个月本科
JAVA开发,13-25K·13薪,中电金信,上海·浦东新区·金桥,经验不限大专
Java工程师,15-18K,微创软件,上海·徐汇区·漕河泾,3-5年大专
Java实习,5-8K,碰撞科技,上海·浦东新区·张江,经验不限本科
Java开发,13-26K,约和网络科技,上海·浦东新区·唐镇,经验不限学历不限
JAVA,12-16K,智慧新学教育,上海·浦东新区·金桥,1-3年大专
Java,6-7K·13薪,鱼跃成眠,上海·浦东新区·曹路,1年以内大专
JAVA开发,15-20K,中软国际,上海·浦东新区·金桥,1-3年大专
Java,25-35K,华为,上海·浦东新区·金桥,在校/应届本科
Java,15-22K,厦门随身科技有限公司,上海·浦东新区·张江,5-10年大专
Java,20-30K·20薪,平安租赁,上海·浦东新区·金桥,5-10年本科
Java,20-30K·13薪,大智慧,上海·浦东新区·塘桥,5-10年本科
Java web,9-14K,闪尖科技,上海·静安区·彭浦镇,经验不限本科
Java,18-28K,武汉佰钧成技术,上海·浦东新区·迪士尼,5-10年本科
Java,20-40K·14薪,微盟,上海·宝山区·淞南,5-10年大专
Java TL-全栈,20-40K·13薪,亿达信息,上海·浦东新区·张江,5-10年学历不限
Java,15-25K·13薪,上海博豪,上海·杨浦区·中原,5-10年本科
Java,18-26K,圆通速递,上海·青浦区·虹桥枢纽周边区,5-10年本科
java,11-20K·13薪,新致软件,上海·杨浦区·东外滩,3-5年大专
Java开发,20-35K·13薪,润和软件,上海·浦东新区·金桥,5-10年本科
Java,30-40K·16薪,华测,上海·青浦区·徐泾,5-10年本科
Java工程师,20-30K,Mirum翔傲科技,上海,5-10年大专
Java,11-22K,智蓝云信,上海·浦东新区·世博,3-5年大专
Java,15-30K·14薪,上海贝隐信息,上海·浦东新区·塘桥,5-10年大专
Java,12-18K·14薪,倍业科技,上海·徐汇区·漕河泾,在校/应届本科
Java,9-12K,上海毅翃软件,上海·松江区·荣乐中路,1-3年本科
Java,8-12K,上海道索,上海·徐汇区·田林,1-3年本科
Java,13-22K,智和信息,上海·徐汇区·漕河泾,5-10年本科
Java开发,13-14K·13薪,同方鼎欣,上海·黄浦区·外滩,3-5年大专
Java,10-15K,拓保软件,上海·浦东新区·陆家嘴,3-5年大专
初级Java开发工程师,10-15K,东软集团,上海·浦东新区·金桥,1-3年大专
Java开发工程师（民生）,15-20K·13薪,金锐,上海·浦东新区·陆家嘴,5-10年大专
Java,13-18K,汉克时代,上海·静安区·大宁,经验不限学历不限
上海Java实习生,100-150元/天,万德软件,上海,5天/周6个月本科
Java,12-15K,泽未科技,上海·黄浦区·淮海路,5-10年本科
Java,15-25K·14薪,叶新网络,上海·徐汇区·漕河泾,1-3年大专
Java,15-30K·14薪,中移上海产业研究院,上海,5-10年本科
Java,30-50K·16薪,饿了么,上海·普陀区·长征,5-10年本科
Java,25-35K·16薪,得物App,上海·杨浦区·东外滩,5-10年大专
Java,4-7K,西游出行,上海·闵行区·吴泾,经验不限大专
Java,20-40K·17薪,聚水潭,上海·闵行区·华漕,5-10年本科
Java开发工程师,11-17K,中科软,上海,经验不限学历不限
Java,25-50K·16薪,蚂蚁集团,上海·浦东新区·陆家嘴,经验不限本科
JAVA开发,18-25K·13薪,第一秒电商,上海·黄浦区·人民广场,5-10年大专
Java,12-17K,心道,上海·浦东新区·陆家嘴,3-5年本科
Java,16-25K,比滋特,上海·长宁区·中山公园,5-10年本科
Java,15-28K·13薪,一薪宝,上海·浦东新区·曹路,经验不限本科
Java,11-22K,艾艺,上海·闵行区·浦江,5-10年大专
Java,20-40K,竹间智能,上海·徐汇区·田林,5-10年本科
Java,12-24K,雪链,上海·闵行区·七宝,5-10年本科
Java,20-30K,华岱,上海·宝山区·顾村,5-10年本科
Java,15-30K,点金数,上海·浦东新区·张江,经验不限本科
Java,20-35K,私岸,上海,5-10年大专
Java,15-16K,元施智能,上海·浦东新区·张江,在校/应届本科
JAVA,11-20K,合生科技,上海·浦东新区·陆家嘴,3-5年大专
java,20-30K·13薪,上海三瑞信息技术,上海·长宁区·天山,5-10年本科
Java,13-20K·13薪,神州通誉,上海·长宁区·北新泾,1-3年大专
Java,16-25K·13薪,苗戊,上海·杨浦区·五角场,5-10年本科
Java,10-15K,讯锡科技,上海·浦东新区·金桥,1-3年大专
java开发,11-19K,软通动力信息技术集团,上海·浦东新区·陆家嘴,3-5年学历不限
Java,15-25K,法本,上海·浦东新区·陆家嘴,3-5年大专
Java,17-21K·13薪,诗与远方公司,上海·虹口区·北外滩,5-10年本科
Java工程师,15-20K·13薪,天虹集团,上海·黄浦区·城隍庙,5-10年大专
Java,30-60K·15薪,北京字节跳动,上海·浦东新区·张江,5-10年本科
Java,50-80K,蚂蚁金服,上海·浦东新区·陆家嘴,5-10年本科
Java,15-30K·13薪,极兔速递,上海·青浦区·虹桥枢纽周边区,3-5年大专
Java开发工程师,14-22K,融易通,上海·浦东新区·世博,5-10年大专
Java,13-18K,上海爱美佳,上海·徐汇区·徐家汇,3-5年大专
高级Java,18-25K,苏宁IT,上海·闵行区·虹桥,5-10年本科
JAVA,15-30K·13薪,奥解思,上海·浦东新区·张江,经验不限本科
Java后端,18-35K,中科创达软件,上海·徐汇区·康健,5-10年大专
Java,20-40K·14薪,途虎养车,上海·闵行区·南方商城,5-10年本科
JAVA开发,9-12K,上海功存,上海·宝山区·吴淞,1-3年大专
