职位,薪资,公司,所在地,要求
总裁/总经理/CEO,20-40K,陶灵实业,上海·闵行区·颛桥,5-10年硕士
总裁/总经理/CEO,15-20K,上海卡威,上海·宝山区·顾村,5-10年大专
营销培训生,6-10K,韵光科技,上海·闵行区·虹桥,1年以内大专
总裁/总经理/CEO,30-50K·24薪,上海云滃网络科技,上海·虹口区·虹口足球场,10年以上本科
总助/CEO助理/董事长助理,10-15K,涛万商业管理有限公司,上海·静安区·南京西路,3-5年本科
总裁/总经理/CEO,6-7K,万晟天华,上海·杨浦区·五角场,1-3年本科
总裁/总经理/CEO,15-30K,德华餐饮,上海·嘉定区·南翔,10年以上本科
7500底薪/无需经验/不限学历/高收入,8-13K,拓英信息科技有限公司,上海·杨浦区·东外滩,经验不限学历不限
总裁/总经理/CEO,21-22K,巢肽健康,上海·虹口区·大柏树,1-3年本科
总裁/总经理/CEO,20-21K,大耳,上海·杨浦区·五角场,1-3年本科
司机,7000-8500元/月,欧图,上海·黄浦区·新天地,5-10年高中
CEO助理,25-30K·13薪,正歆,上海·静安区·彭浦镇,3-5年硕士
总助/CEO助理/董事长助理,18-25K,冠菲,上海·青浦区·徐泾,5-10年本科
总裁/总经理/CEO,15-30K,尚尚健康,上海·嘉定区·南翔,3-5年本科
总裁/总经理/CEO,15-30K,影然,上海·青浦区·徐泾,5-10年本科
人事行政助理,6-8K·14薪,易界资本,上海·静安区·南京西路,1年以内大专
总裁/总经理/CEO,30-35K,雅享健康科技(上...,上海·浦东新区·张江,5-10年硕士
总助/CEO助理/董事长助理,8-13K,馨域科技,上海·静安区·火车站,3-5年本科
总裁/总经理/CEO,10-11K,圣鲸,上海·浦东新区·惠南,经验不限学历不限
总裁/总经理/CEO,10-15K,蟪蛄,上海·嘉定区·南翔,5-10年本科
投融资总监,20-40K,维智,上海,5-10年本科
CEO 助理（上海）,20-30K·13薪,所思科技,上海,1-3年本科
总助/CEO助理/董事长助理,7-12K,上海卡夫贸易有限公司,上海·松江区·莘闵别墅,经验不限本科
CEO助理/总裁助理/总助,10-15K·14薪,乐居,上海·静安区·闸北公园,1-3年本科
CEO助理,20-30K·13薪,欧几里德Euclid,上海·普陀区·长风,3-5年本科
CEO技术助理,8-13K,儒墨航空,上海·闵行区·老闵行,经验不限本科
销售专员,5-10K,流筑生物技术(上...,上海·黄浦区·外滩,经验不限大专
总裁助理（CEO助理）,10-15K·13薪,壹品仓,上海·闵行区·浦江,1-3年本科
总助/CEO助理/董事长助理,15-23K·13薪,上海鑫琛实业有限公司,上海·虹口区·曲阳,3-5年本科
城市代理人/城市合伙人,50-80K,童王健康,上海·松江区·新桥,经验不限学历不限
新零售运营总监,15-16K,漫拉秀,上海·普陀区·光新,1-3年大专
销售 无责8k 8小时 不加班 做五休二 14薪,20-40K·14薪,道而简,上海·静安区·大悦城,经验不限大专
总助/CEO助理/董事长助理,10-15K,数米咨询,上海·杨浦区·五角场,3-5年本科
CEO/总裁/总经理,25-40K,靠谱查,上海·黄浦区·打浦桥,3-5年本科
CEO 助理（业务方向）,12-20K,耀竞文化,上海·普陀区·长风,1-3年本科
总裁/总经理/CEO,45-70K,中燊,上海·黄浦区·城隍庙,1-3年本科
总裁/总经理/CEO,30-60K·14薪,跟我嗨文化传媒有...,上海·浦东新区·联洋,5-10年本科
总裁/总经理/CEO,10-11K,明台脑利,上海·宝山区·淞宝,3-5年本科
总裁/总经理/CEO,20-21K,星杰宜居,上海·闵行区·虹桥,3-5年本科
技术合伙人CTO,5-6K·14薪,语鸽智能科技,上海·松江区·九亭,5-10年博士
总助/CEO助理/董事长助理,9-12K,至信股份,上海·徐汇区·音乐学院,3-5年本科
少儿培训店长,6-10K,上海颜妃文化传播...,上海·静安区·西藏北路,经验不限本科
临床数据分析师,200-400元/天,准雀,上海·嘉定区·嘉定镇,3天/周3个月本科
CEO/总裁/总经理,25-50K·24薪,复鉴蓝盾,上海·浦东新区·张江,5-10年本科
首席运营官（COO）,80-110K·14薪,上海高仙,上海,10年以上本科
CEO助理/总裁助理/总助,11-15K·14薪,携理科技,上海·徐汇区·徐家汇,1-3年本科
法务助理,9-10K·13薪,法虎,上海·闵行区·虹桥,1-3年本科
7000底薪+住宿+老板培训+网络营销+合伙人,15-30K,上海海众地产房地产,上海·静安区·曹家渡,经验不限高中
总经理,20-25K,同选教育有限公司,上海·黄浦区·新天地,5-10年本科
董事长秘书,8-12K,百家归一,上海·松江区·新桥,1-3年本科
创业合伙人/联营创始人（给予资金支持）,12-24K·15薪,蒲公英新零售,上海,1-3年大专
总裁/总经理/CEO,20-25K,明劭投资咨询（上...,上海·浦东新区·源深,5-10年本科
7k-20k+朝九晚五+周末双休,7-12K,昊薪科技,上海·徐汇区·龙华,经验不限学历不限
CEO助理/总裁助理/总助,11-20K,Ruff,上海·浦东新区·张江,3-5年本科
王牌项目➕六险一金➕课程顾问,15-30K·13薪,高顿教育集团,上海·虹口区·虹口足球场,经验不限大专
销售总监,10-15K,满街,上海·静安区·汶水路,5-10年大专
电话销售/邀约（做五休二、底薪6K）,8-13K,锐信网络,上海·杨浦区·五角场,经验不限中专/中技
行政前台,6-7K,上海梓华财务咨询,上海,经验不限大专
COO 首席运营官（医疗 母婴方向）,25-35K,爱得宝科技,上海·普陀区·长风,5-10年本科
双休2W网销不打电话精准客户,15-20K,佰莱,上海·闵行区·浦江,经验不限高中
CEO助理/总裁助理/总助,13-26K·16薪,安心平台,上海·徐汇区·徐家汇,3-5年本科
免费住宿+无责底薪+朝九晚六,8-10K,柏晨,上海·闵行区·浦江,经验不限学历不限
CEO EHS Software软件总经理,26-50K,EHSCity,上海,3-5年本科
高薪家装建材顾问+五险一金+高提成一万+,15-30K,百安居,上海·浦东新区·世纪公园,经验不限高中
CEO业务助理,18-28K·14薪,斗象科技,上海·浦东新区·张江,3-5年本科
司机,9-10K,意徕诗,上海·徐汇区·漕河泾,3-5年高中
人力资源高级经理,15-20K,电鳗互动传媒,上海·长宁区·仙霞,5-10年本科
采购CEO,50-80K,法樽国际贸易,上海·浦东新区·外高桥,5-10年本科
后端开发工程师,10-13K·13薪,上海励行企业管理...,上海·浦东新区·金桥,3-5年本科
