职位,薪资,公司,所在地,要求
软件架构师,40-70K·20薪,OPPO,上海,10年以上本科
系统架构师,25-30K,适途汽车,上海·浦东新区·康桥,5-10年大专
架构师,30-40K,徙木金融,上海·普陀区·长征,5-10年本科
架构师,20-40K,上海微课信息科技...,上海·闵行区·老闵行,5-10年本科
证券股票分析师,10-15K,利多星,上海,5-10年本科
java架构师,30-45K·15薪,际珂信息,上海·闵行区·浦江,5-10年大专
系统架构师,25-35K,车联天下,上海·闵行区·华漕,5-10年本科
助理数据分析师（大气环境方向）,7-9K,上海地听,上海,在校/应届本科
系统架构师,15-30K·14薪,ntt data,上海·静安区·静安寺,5-10年本科
数据分析师,120-150元/天,药明康德,上海·浦东新区·外高桥,4天/周3个月本科
系统架构师,15-25K,国动信息集团,上海,5-10年本科
架构师,50-75K,威派格,上海·嘉定区·外冈,5-10年本科
系统架构师,45-50K·15薪,华泰证券,上海·浦东新区·陆家嘴,5-10年硕士
AI架构师,40-70K,红云生物,上海·闵行区·颛桥,5-10年硕士
无机化学分析师,6-8K·14薪,SGS,上海·徐汇区·漕河泾,经验不限大专
软件开发架构师,30-35K·13薪,元拓软件,上海·徐汇区·漕河泾,5-10年学历不限
业务流程话术专员/语义分析师/自然语言分析,6-12K,保险街,上海·浦东新区·张江,经验不限学历不限
架构师,20-40K,中移上海产业研究院,上海·浦东新区·金桥,5-10年本科
架构师,20-40K,吴淞口集团,上海·宝山区·吴淞,5-10年本科
架构师,20-40K·14薪,美年大健康,上海·静安区·大宁,5-10年本科
架构师,35-40K·13薪,深演智能,上海·徐汇区·音乐学院,5-10年本科
高级系统架构师,30-60K·14薪,科大讯飞,上海,5-10年本科
架构师,15-30K,宇臻科技,上海·嘉定区·徐行,经验不限本科
架构师,30-60K,璀璨智行,上海·浦东新区·金桥,经验不限本科
系统架构师,20-40K·16薪,星宸科技股份有限公司,上海·浦东新区·张江,5-10年本科
技术架构师,20-35K,万高,上海,5-10年本科
分析师实习生,100-150元/天,e代理,上海·静安区·南京西路,3天/周3个月硕士
架构师,50-70K·13薪,景栗,上海,5-10年本科
架构师,26-35K,齐家网,上海·嘉定区·丰庄,5-10年本科
物联网架构师/物联网开发经理,20-25K,科诺牧业,上海·浦东新区·张江,5-10年本科
IM架构师,20-40K,5173,上海·普陀区·长征,3-5年学历不限
运营数据分析师,7-10K,红星美凯龙,上海·普陀区·长征,1-3年大专
汽车智能化产品软件架构师（上海）,50-80K·14薪,理想汽车,上海·嘉定区·安亭,10年以上本科
投顾分析师,10-15K,点尚星耀,上海·浦东新区·陆家嘴,5-10年本科
java架构师,25-35K,银生宝,上海,5-10年学历不限
平台架构师,55-85K·15薪,bilibili,上海,5-10年本科
架构师,25-50K,海乂知,上海,5-10年本科
架构师,24-35K,上海闻峥,上海·青浦区·机场,5-10年本科
系统架构师,40-55K,特斯联,上海,5-10年硕士
基础架构工程师,40-70K·14薪,今日头条,上海·闵行区·虹梅路,经验不限本科
架构师,21-30K,想星,上海·松江区·九亭,3-5年本科
软件架构师,30-50K·15薪,西门子研究院,上海·杨浦区·东外滩,5-10年本科
服务端架构师-生活服务,40-70K·20薪,北京字节跳动,上海·闵行区·虹梅路,5-10年本科
AI架构师,50-80K,壹沓科技,上海·静安区·汶水路,5-10年硕士
系统架构师,30-40K,富常医疗科技,上海·闵行区·闵行开发区,5-10年本科
BA_高级业务需求分析师,20-25K·13薪,软通动力信息技术集团,上海·杨浦区·东外滩,5-10年大专
架构师,20-25K·14薪,天正聚合,上海·静安区·西藏北路,5-10年本科
AWS架构师-全国,20-40K·13薪,IBM,上海,5-10年学历不限
行业分析师,8-10K·13薪,气库,上海·长宁区·北新泾,在校/应届硕士
系统架构师,25-50K,韬安,上海·宝山区·高境,5-10年本科
分析师助理,8-12K,抖起文化,上海·浦东新区·陆家嘴,经验不限大专
容器云架构师,45-65K·14薪,51WORLD,上海·徐汇区·龙华,5-10年本科
直播财经分析师,20-40K,上海垤晓,上海·青浦区·徐泾,经验不限学历不限
实习（VC分析师）,200-250元/天,众麟资本,上海·黄浦区·新天地,3天/周6个月硕士
软件架构师,30-50K·16薪,远铸智能,上海,5-10年本科
驻场构架师,25-40K,上海道索,上海·徐汇区·龙华,经验不限本科
信用评级分析师（上海）,10-13K·16薪,东方金诚,上海·浦东新区·陆家嘴,经验不限硕士
架构师,25-50K·16薪,泛微网络,上海·闵行区·浦江,3-5年本科
投研分析师,10-15K,和诚创新,上海·长宁区·仙霞,经验不限硕士
高级架构师,30-40K,安能物流,上海·青浦区·徐泾,5-10年本科
KNX系统架构工程师,10-12K,福玥智能科技,上海·青浦区·徐泾,3-5年大专
证券分析师,11-22K,九方智投,上海·青浦区·徐泾,5-10年学历不限
软件架构师,25-35K·15薪,亿咖通科技ECARX,上海·徐汇区·龙华,5-10年本科
架构师,20-30K,锦远实业集团,上海·青浦区·青浦城区,3-5年本科
架构师,30-45K,平安好学,上海·虹口区·临平路,5-10年本科
架构师,18-28K·13薪,智灵时代,上海·浦东新区·曹路,3-5年本科
架构师,30-40K·13薪,彩虹无线,上海·闵行区·虹桥,10年以上本科
技术架构师,20-25K,易批生鲜,上海·普陀区·长风,5-10年大专
数据分析师助理,150-200元/天,gessey,上海·黄浦区·城隍庙,5天/周6个月大专
证券分析师,8-13K·15薪,复霈投资,上海·杨浦区·五角场,在校/应届硕士
数据分析员,6-7K,旺旺集团,上海·闵行区·虹桥,1-3年大专
架构师,35-45K,上海尤恩,上海·徐汇区·田林,5-10年本科
架构师,25-30K·13薪,国际表型院,上海·杨浦区·五角场,3-5年本科
架构工程师,10-15K,富欣智控,上海·浦东新区·张江,1-3年硕士
数据架构师,25-50K,复星集团,上海·黄浦区·城隍庙,10年以上本科
证券分析师,8-9K,上海塔木德,上海·普陀区·桃浦,5-10年大专
分析师（实习生）,100-120元/天,经续管理咨询,上海·杨浦区·东外滩,7天/周3个月本科
架构师,30-50K·16薪,太美医疗科技,上海·徐汇区·漕河泾,5-10年本科
架构设计师,25-35K·16薪,隆创,上海·浦东新区·金桥,5-10年本科
数据分析师,6-10K,数库科技,上海·闵行区·浦江,1-3年大专
系统架构师,28-40K·13薪,上海阿密泰,上海·闵行区·老闵行,5-10年本科
王者荣耀数据分析师,6-8K,上海翔鸢信息科技,上海·青浦区·赵巷,经验不限大专
云原生架构师,30-50K,DaoCloud,上海·虹口区·北外滩,5-10年本科
数据分析（实习岗位）,180-200元/天,Miomi,上海·虹口区·虹口足球场,3天/周3个月学历不限
区块链分布式存储系统架构师,30-60K·13薪,焜耀网络科技,上海·徐汇区·田林,5-10年本科
资深架构师,40-70K·15薪,远东普惠,上海·浦东新区·世博,5-10年本科
仪器分析员,7-10K·13薪,华测检测,上海·闵行区·浦江,1-3年大专
分析师,5-10K,江海证券上海瞿溪路,上海·黄浦区·五里桥,经验不限本科
高级交付研发架构师,40-60K·16薪,百度,上海·浦东新区·张江,5-10年本科
腾讯云数据库架构师(上海),30-60K·16薪,腾讯科技(北京)公司,上海·闵行区·浦江,5-10年学历不限
研究数据分析助理(Part Time）,100-120元/天,大锣哥,上海,3天/周3个月大专
分析师实习生,100-120元/天,业宸咨询,上海·杨浦区·东外滩,4天/周3个月本科
生物信息分析工程师（应届毕业生）,12-20K,上海唯那生物科技...,上海·奉贤区·南桥,在校/应届硕士
量化分析师（实习）,90-100元/天,华创证券,上海·浦东新区·陆家嘴,4天/周3个月硕士
技术架构师,30-40K,德邦证券,上海·浦东新区·陆家嘴,5-10年本科
云存储架构师,30-50K·13薪,启善信息,上海·黄浦区·五里桥,5-10年本科
证券分析师,8-11K,益盟股份,上海·杨浦区·新江湾城,经验不限大专
软件架构师,20-28K,春秋航空股份有限公司,上海,5-10年本科
Java架构师,25-35K,上海九物,上海·闵行区·莘庄,5-10年本科
前端架构师,15-25K,中企宅品,上海·浦东新区·康桥,5-10年本科
首席架构师,25-35K·15薪,因朔桔科技,上海·浦东新区·金桥,10年以上硕士
Java架构师,15-30K·14薪,长城汽车,上海·长宁区·北新泾,5-10年本科
分析师助理,150-200元/天,坤逊金融,上海,4天/周3个月本科
横向控制（LKA、LDW）算法开发工程师,18-35K·14薪,华人运通控股(上...,上海·闵行区·浦江,经验不限学历不限
架构师技术指导,20-25K,上海高泉企业管理...,上海,5-10年本科
软件架构师,20-25K,星逻智能,上海·浦东新区·临港,3-5年学历不限
系统架构分析岗,15-30K·15薪,银联国际,上海·浦东新区·陆家嘴,5-10年本科
资深架构师,20-40K,移惠信息技术,上海·静安区·汶水路,10年以上本科
高级JAVA架构师,35-55K·13薪,梅斯医学,上海,5-10年本科
需求分析工程师（银行）,12-18K,中软国际,上海·浦东新区·张江,经验不限学历不限
数据分析师,10-15K·13薪,城投集团,上海·徐汇区·斜土路,3-5年大专
实习NLP分析师,100-180元/天,美至科技,上海·浦东新区·三林,3天/周2个月本科
系统架构师,25-40K·15薪,上海瀚讯,上海·长宁区·中山公园,5-10年硕士
应用程序安全架构师,30-50K·13薪,Newegg新蛋集团,上海·长宁区·中山公园,5-10年本科
架构师,30-60K,爱乐奇,上海·浦东新区·张江,经验不限本科
