  职位,薪资,公司,所在地,要求
高级自然语言处理算法NLP,30-60K,国音智能,上海·浦东新区·张江,3-5年硕士
资深自然语言处理工程师,30-60K·13薪,智慧芽,上海,3-5年本科
自然语言处理(NLP)算法工程师,20-35K,声通科技,上海·闵行区·莘庄,1-3年硕士
算法专家（自然语言处理）,30-60K·16薪,饿了么,上海,3-5年本科
【电商】知识图谱/自然语言处理算法工程师,30-60K·15薪,Shopee,上海·普陀区·长风,3-5年本科
自然语言处理工程师,20-40K·15薪,乐言科技,上海·长宁区·中山公园,经验不限硕士
自然语言处理算法工程师,25-50K·13薪,大参林,上海·浦东新区·张江,3-5年本科
自然语言处理研究员,35-65K·15薪,SenseTime,上海·徐汇区·漕河泾,1-3年硕士
自然语言处理工程师,18-30K,互问信息,上海·浦东新区·张江,3-5年本科
自然语言处理工程师,50-80K·15薪,合众新能源汽车有......,上海·闵行区·华漕,5-10年硕士
自然语言处理,20-40K,Gocapture,上海·徐汇区·徐家汇,经验不限本科
高级NLP研发工程师（自然语言处理）,15-30K,秀合同,上海·黄浦区·淮海中路,3-5年本科
NLP自然语言处理工程师,12-24K,宜氪数据科技,上海·浦东新区·张江,1-3年本科
自然语言处理算法工程师-模型优化方向,30-60K·15薪,今日头条,上海·闵行区·合川路,1-3年本科
自然语言处理算法创新工程师,30-60K,华为,上海·浦东新区·金桥,经验不限博士
自然语言处理工程师,20-35K,众标科技,上海·普陀区·长风,1-3年本科
自然语言处理算法专家,35-65K·16薪,饿了么,上海,1-3年硕士
自然语言处理工程师,15-25K,玑脉数据,上海·杨浦区·五角场,1-3年大专
自然语言处理算法工程师,25-50K·14薪,大参林,上海·浦东新区·张江,3-5年本科
自然语言处理工程师NLP,18-30K,Cerence,上海·浦东新区·陆家嘴,经验不限硕士
自然语言处理工程师,15-25K·13薪,欧路软件,上海·浦东新区·花木,3-5年本科
自然语言处理算法工程师,25-50K·17薪,特赞|Tezign,上海·虹口区·四川北路,3-5年硕士
自然语言处理工程师,20-40K·13薪,国音智能,上海·浦东新区·张江,1-3年硕士
自然语言处理工程师NLP,10-15K,百业并购,上海·浦东新区·八佰伴,1-3年硕士
自然语言处理（NLP）工程师,15-25K,帜讯信息,上海·浦东新区·张江,1-3年本科
自然语言处理工程师,20-40K·13薪,智慧芽,上海·静安区·不夜城,1-3年硕士
机器翻译研发实习生(算法方向),150-200元/天,bilibili,上海·杨浦区·五角场,4天/周3个月硕士
高级算法工程师（nlp自然语言处理方向）,30-60K,海豚选房,上海·浦东新区·陆家嘴,5-10年本科
自然语言处理算法工程师,30-50K,华为,上海·浦东新区·金桥,3-5年本科
自然语言处理,15-25K,烯牛数据,上海·徐汇区·徐家汇,1-3年硕士
自然语言处理算法专家,30-60K·19薪,饿了么,上海·普陀区·长征,1-3年本科
自然语言工程师,20-40K·13薪,卓繁信息,上海·徐汇区·龙华,1-3年硕士
自然语言处理,25-50K,蜗牛保险,上海·闵行区·华漕,1-3年本科
自然语言工程师,10-15K·13薪,寰擎信息,上海·杨浦区·东外滩,1年以内本科
自然语言处理算法工程师,20-30K,合众新能源汽车有......,上海·闵行区·华漕,3-5年硕士
自然语言处理算法工程师,20-30K,赛可智能科技,上海·杨浦区·五角场,1-3年硕士
资深NLP自然语言处理工程师,80-110K,国音智能,上海·浦东新区·张江,3-5年硕士
NLP算法专家（自然语言处理）,40-55K,嘉银金科,上海·浦东新区·塘桥,5-10年硕士
业务流程话术专员/语义分析师/自然语言分析,6-12K,保险街,上海·浦东新区·张江,经验不限学历不限
自然语言处理,15-25K·15薪,合合信息,上海·静安区·市北工业园,1-3年硕士
自然语言处理算法,20-40K·15薪,平安租赁,上海·浦东新区·金桥,3-5年本科
自然语言处理算法工程师,20-30K,懿衡信息,上海·浦东新区·北蔡,经验不限硕士
自然语言算法实习生,300-450元/天,bilibili,上海·杨浦区·五角场,4天/周3个月本科
NLP算法实习,200-300元/天,小i机器人,上海,4天/周3个月硕士
自然语言处理算法高级工程师,25-50K·13薪,普华基础软件,上海·徐汇区·漕河泾,5-10年硕士
自然语言处理工程师,9-14K·13薪,上海禀土,上海·浦东新区·陆家嘴,1-3年本科
NLP算法实习生-senior,8-10K,欢聚集团,上海·浦东新区·塘桥,在校/应届硕士
自然语言处理工程师,20-40K,柯林布瑞,上海·徐汇区·田林,3-5年硕士
数据处理,200-210元/天,药明生物,上海·奉贤区·南桥,4天/周4个月硕士
自然语言处理算法专家,25-50K·15薪,美团,上海·长宁区·北新泾,3-5年本科
自然语言处理算法工程师,25-50K,梅花网,上海·闵行区·虹桥,1-3年硕士
