职位,薪资,公司,所在地,要求
Python工程师,7-12K·13薪,凯诘电子商务,上海,1-3年大专
后端实习（Python）,150-200元/天,Gemsouls,上海·徐汇区·徐家汇,4天/周3个月本科
Python,6-8K,海秦花数字科技,上海·闵行区·浦江,1-3年本科
后端开发实习生(Python | SH),150-300元/天,MRS,上海·静安区·南京西路,5天/周3个月本科
Python,11-18K·13薪,文睿,上海·长宁区·北新泾,1-3年学历不限
python开发（德邦）,10-15K,常州科睿达,上海·青浦区·徐泾,经验不限大专
Python,10-11K,上海帝江实业有限...,上海·浦东新区·临港,3-5年本科
python实习,200-250元/天,DaoCloud,上海·杨浦区·五角场,5天/周6个月本科
Python,8-9K,四雍信息,上海·虹口区·临平路,1-3年本科
python爬虫,100-200元/天,将乎信息,上海,4天/周6个月本科
python开发,10-15K,创米,上海·徐汇区·漕河泾,1-3年本科
Python爬虫技术实习岗,2-4K,千际投资,上海,1-3年大专
Python,10-15K·14薪,中博智云,上海·长宁区·仙霞,1-3年本科
Python开发工程师,11-20K,博彦科技,上海·浦东新区·张江,3-5年大专
Python,18-25K,得物App,上海·杨浦区·东外滩,3-5年本科
Python开发工程师（双休）,10-15K·13薪,数和信息,上海·闵行区·浦江,1-3年大专
Python开发,13-21K,炫体,上海·闵行区·七宝,经验不限大专
Python,20-35K·14薪,创荐通,上海·浦东新区·塘桥,5-10年本科
Python工程师,7-12K,鋆石智能,上海·浦东新区·航头,1-3年大专
Python,10-11K,上海黎昶,上海·闵行区·颛桥,经验不限高中
python开发工程师,5-10K,云钠科技,上海·闵行区·华漕,经验不限大专
Python开发工程师（爬虫和Web方向）,6-8K,上海魅客,上海·虹口区·周家嘴路,1-3年大专
Python,16-22K·13薪,奥解思,上海·浦东新区·张江,1-3年本科
软件开发•PYTHON工程师,10-14K·13薪,天维信通,上海·徐汇区·漕河泾,经验不限学历不限
Python开发实习生,200-250元/天,洪朴信息,上海·长宁区·新华路,4天/周4个月本科
python开发,12-24K,中软国际,上海·浦东新区·金桥,在校/应届本科
python研发实习生,200-400元/天,戎磐,上海·长宁区·仙霞,5天/周6个月本科
Python后端工程师,13-20K,上海为而不争企业...,上海,5-10年本科
python工程师,8-12K,上海蓝宗,上海·浦东新区·周浦,1-3年大专
Python,18-35K,东台信息,上海·长宁区·淞虹路,经验不限本科
python爬虫实习生,100-200元/天,上海开华软件公司,上海·松江区·中山,5天/周6个月本科
Python,18-30K·13薪,互道信息,上海·浦东新区·三林,5-10年本科
Python,15-25K,筐子,上海·黄浦区·五里桥,3-5年本科
Python开发实习生,200-300元/天,壹沓科技,上海·静安区·大宁,4天/周6个月本科
Python,10-15K·13薪,顺娱网络,上海·浦东新区·张江,1-3年本科
Python工程师,11-20K·13薪,快仓智能,上海·徐汇区·漕河泾,经验不限学历不限
Python,6-10K,长新,上海·普陀区·桃浦,1-3年大专
Python实习生,200-250元/天,上海深觉,上海·杨浦区·东外滩,3天/周3个月硕士
python开发,12-20K,法本,上海·徐汇区·龙华,3-5年大专
Python,20-40K·16薪,蚂蚁金服,上海·浦东新区·陆家嘴,经验不限本科
Python,30-50K·16薪,蚂蚁集团,上海·浦东新区·陆家嘴,3-5年本科
Python,15-30K,布谷鸟,上海·虹口区·四川北路,经验不限本科
Python开发工程师（上研）,13-18K,东软集团股份有限公司,上海·浦东新区·外高桥,3-5年大专
Python开发工程师,12-20K,Mirum翔傲科技,上海,经验不限大专
Python（RPA）,16-20K·14薪,中关村科金,上海,5-10年大专
Python开发工程师,20-22K,秋舞贸易,上海·普陀区·武宁,1-3年大专
python工程师,7-12K,墨非信息,上海·徐汇区·徐家汇,在校/应届本科
python,15-25K·13薪,雁联技术,上海·浦东新区·陆家嘴,3-5年本科
Python,12-18K,嘉竹唐思,上海·浦东新区·南码头,1-3年本科
Python研发工程师（实习）,230-300元/天,上海安势,上海·徐汇区·龙华,5天/周4个月本科
Python爬虫,10-15K,梅花网,上海·徐汇区·漕河泾,1-3年大专
Python开发工程师,6-8K,睿卓科技,上海·奉贤区·金汇,经验不限本科
Python开发实习生,200-250元/天,奇安信集团,上海·闵行区·虹梅路,4天/周3个月本科
Python爬虫工程师,13-20K,上海汇法,上海·杨浦区·五角场,5-10年本科
python,13-22K,兴曜信息,上海·浦东新区·世纪公园,3-5年本科
Python开发工程师,18-22K,软通动力信息技术集团,上海·浦东新区·金桥,3-5年大专
Python开发实习生,180-230元/天,上海数旦,上海·徐汇区·康健,4天/周3个月本科
Python,2-3K,天风证券,上海·浦东新区·世纪公园,1年以内大专
python爬虫工程师,9-13K·14薪,城室科技,上海·普陀区·真如,经验不限学历不限
Python开发,15-25K·13薪,驿氪EZR,上海,3-5年大专
Python 工程师,8-13K·13薪,即智,上海·浦东新区·陆家嘴,1-3年本科
Python工程师,10-15K·13薪,博佳医药,上海·浦东新区·张江,经验不限本科
Python,20-30K·14薪,一起教育科技,上海·闵行区·莘庄,经验不限本科
Python开发,6-8K,泉升,上海·闵行区·春申,1-3年大专
Python开发工程师,10-15K,永亮信息,上海·闵行区·七宝,经验不限学历不限
Python工程师,10-12K,南京容信,上海·黄浦区·打浦桥,3-5年大专
Python,10-15K,寸草网络,上海·嘉定区·嘉定镇,1-3年本科
Python工具开发工程师,15-28K,回城信息科技技术,上海·闵行区·莘庄,3-5年大专
Python全栈开发工程师,12-18K·13薪,南京百敖,上海·闵行区·浦江,经验不限大专
Python高级工程师,18-30K,上海特临,上海·闵行区·浦江,5-10年本科
Python Web实习生,150-200元/天,担路网,上海·松江区·九亭,6天/周12个月本科
Python开发工程师/后台开发工程师,10-15K,鹤礼实业,上海·普陀区·长征,1-3年大专
python开发工程师,20-35K·13薪,我查查信息技术,上海·浦东新区·张江,5-10年本科
python,20-40K,有个机器人,上海·静安区·汶水路,经验不限本科
python开发,15-30K,上海颐景,上海·静安区·静安寺,5-10年学历不限
Python研发工程师,14-25K,九州云,上海·黄浦区·西藏南路,经验不限学历不限
Python,18-30K,有因企业直播,上海·闵行区·虹桥,3-5年大专
Python开发,11-20K,智和信息,上海·嘉定区·江桥,3-5年大专
python,12-18K,佳云保,上海·徐汇区·龙华,3-5年本科
python,15-20K,洛济,上海·静安区·南京西路,1-3年本科
Python/Odoo高级开发工程师,10-15K,企通网络,上海,1-3年大专
Python开发工程师,5-10K,仑动科技,上海·浦东新区·张江,经验不限学历不限
Python,20-40K,万历报关,上海·浦东新区·外高桥,3-5年大专
Python Developer-AI Team,12-20K·13薪,亦恺,上海,5-10年本科
2022校招-Python开发工程师,16-22K·16薪,千寻位置,上海·杨浦区·新江湾城,在校/应届本科
python开发工程师,10-15K·13薪,百脑汇,上海·徐汇区·徐家汇,1-3年大专
Python开发工程师,10-15K,西信科技,上海·静安区·曹家渡,3-5年大专
Python,10-15K,硬土信息安全技术,上海·浦东新区·源深,1-3年大专
Python,20-30K,MobTech,上海·徐汇区·田林,3-5年本科
Python后端开发工程师,10-15K,树融科技,上海·杨浦区·五角场,1年以内学历不限
Python,11-16K·13薪,磐御网络,上海,1-3年本科
Python 后端研发工程师（实习）,200-300元/天,观安,上海·嘉定区·江桥,4天/周8个月本科
Python工程师,20-40K·14薪,TapTap,上海,经验不限学历不限
python研发工程师,13-20K,招鲤,上海·浦东新区·陆家嘴,经验不限本科
Python开发工程师（22届校招）,16-25K·16薪,东方财富集团,上海,在校/应届本科
Python开发工程师,12-20K,麦克林,上海·浦东新区·张江,在校/应届本科
python,20-40K,微芒教育科技,上海·徐汇区·田林,经验不限本科
C++语言python java编程培训老师教师,5000-10000元/月,美知教育,上海,经验不限大专
python web开发工程师,10-15K,光际科技,上海·杨浦区·五角场,1年以内本科
Python老师,12-20K,核力教育,上海,经验不限学历不限
Python开发工程师,10-15K·13薪,璟沐科技,上海·徐汇区·徐家汇,1-3年本科
Python & VBA Programmer,9-10K·13薪,BolloreLogistics,上海·黄浦区·淮海中路,3-5年大专
Python开发实习生,200-300元/天,驻云科技,上海,4天/周3个月本科
Python开发工程师（校招）,18-25K·14薪,格物钛,上海·杨浦区·五角场,在校/应届本科
高级Python后端开发工程师,12-20K·13薪,津甜网络,上海·闵行区·莘庄,1-3年本科
Python WEB开发,7-11K,麦开信息,上海·长宁区·新华路,1-3年大专
Python工程师,8-9K·14薪,中集飞瞳,上海,在校/应届学历不限
python服务端开发,6-10K·14薪,友济网络,上海·徐汇区·田林,在校/应届大专
Python开发运维,11-16K,保携金融平台,上海·黄浦区·打浦桥,经验不限学历不限
Python开发测试工程师,10-12K,微创软件,上海·闵行区·老闵行,经验不限本科
Python开发工程师（实习）,180-200元/天,DaoCloud,上海·杨浦区·五角场,4天/周6个月本科
Python,16-22K·13薪,奥解思,上海·浦东新区·花木,1-3年本科
Python开发工程师,11-22K,博彦科技,上海·浦东新区·金桥,1-3年大专
python开发工程师（高级）,20-30K·13薪,恺域科技,上海·浦东新区·张江,5-10年大专
Python工程师,7-12K,上海德成,上海·浦东新区·金桥,经验不限大专
Python,20-30K·16薪,得物App,上海·杨浦区·东外滩,3-5年本科
python开发,11-18K,软通动力信息技术集团,上海·浦东新区·金桥,3-5年本科
python后端工程师,9-14K,城室科技,上海·普陀区·曹杨,经验不限学历不限
Python,15-20K·13薪,犀语科技,上海·杨浦区·五角场,3-5年大专
Python开发工程师,10-15K,新致软件,上海·静安区·曹家渡,3-5年大专
python开发工程师（可转正）,230-300元/天,上海安势,上海·徐汇区·龙华,5天/周3个月本科
Python工程师,22-35K,互道信息,上海·浦东新区·三林,5-10年本科
Python（005）,10-15K·13薪,上海敏智,上海·浦东新区·张江,1-3年大专
Python开发工程师,6-10K,即智,上海·浦东新区·陆家嘴,经验不限本科
python开发,1-2K,华为,上海·浦东新区·金桥,在校/应届本科
Python,13-22K,兴曜信息,上海·浦东新区·世纪公园,3-5年本科
Python Web工程师,7-12K,担路网,上海·松江区·九亭,在校/应届本科
Python,15-30K,中软国际,上海·浦东新区·金桥,3-5年本科
Python开发,8-10K·14薪,科膳,上海·闵行区·虹桥,经验不限本科
Python,14-20K,法本,上海,3-5年本科
Python工程师,250-260元/天,中集飞瞳,上海·浦东新区·外高桥,5天/周6个月学历不限
Python开发工程师,15-20K,博彦科技,上海·浦东新区·金桥,3-5年大专
python开发工程师,8-12K,微创软件,上海·闵行区·吴泾,1年以内本科
python开发,11-22K,软通动力信息技术集团,上海·浦东新区·金桥,1-3年本科
Python数据分析师,150-230元/天,麦开信息,上海·长宁区·中山公园,5天/周5个月学历不限
Python,12-24K,法本,上海·浦东新区·三林,1-3年本科
Python Web工程师,8-13K,担路网,上海·松江区·九亭,在校/应届本科
python开发,14-25K,中软国际,上海·浦东新区·金桥,经验不限本科
Python工程师,8-9K·14薪,中集飞瞳,上海,1年以内学历不限
Python（朝九晚六周末双休）,14-20K,法本,上海·徐汇区·漕河泾,3-5年大专
python开发,13-26K,中软国际,上海·浦东新区·金桥,经验不限本科
Python工程师,8-13K,担路网,上海·松江区·九亭,经验不限本科
Python,7-9K,中集飞瞳,上海·浦东新区·外高桥,在校/应届学历不限
Python开发工程师,13-20K,法本,上海·浦东新区·金桥,3-5年学历不限
Python Web工程师,10-15K,担路网,上海·松江区·九亭,经验不限本科
python开发工程师,15-22K,中软国际,上海·徐汇区·漕河泾,3-5年大专
python,8-9K,中集飞瞳,上海·浦东新区·外高桥,在校/应届学历不限
Python开发工程师,15-22K,法本,上海·浦东新区·金桥,3-5年大专
