职位,薪资,公司,所在地,要求
TIDB Global DBA (华东),25-50K·16薪,PingCAP,上海·黄浦区·城隍庙,5-10年学历不限
应用架构师,35-40K,金光APP,上海·虹口区·北外滩,10年以上本科
交付实施工程师 - 上海(JRVLV),20-40K·15薪,Authing,上海·杨浦区·五角场,5-10年本科
RPA开发工程师,8-13K,金智维,上海·浦东新区·陆家嘴,1-3年大专
云解决方案架构师,30-40K,富通科技,上海·长宁区·中山公园,5-10年本科
上云架构师,25-35K,腾云悦智,上海,5-10年大专
网络工程师,15-25K·13薪,如东科技,上海·长宁区·淞虹路,5-10年大专
实施工程师（RPA、Python）,15-20K·14薪,中关村科金,上海,5-10年大专
安全开发工程师,100-150元/天,杭州安恒,上海,5天/周12个月本科
售前经理-生物信息事业部 (MJ000107),20-40K,BaseBit.ai,上海·长宁区·中山公园,5-10年本科
高级集成交付工程师,16-24K·13薪,华存数据,上海·浦东新区·塘桥,5-10年大专
解决方案架构师,15-20K·13薪,乐阳互联,上海·浦东新区·张江,5-10年本科
网络工程师,9-14K,尚阳科技,上海·徐汇区·徐家汇,1-3年大专
技术服务&实施运维工程师,11-20K·13薪,万博智云信息科技,上海·浦东新区·塘桥,经验不限学历不限
售前技术顾问/解决方案架构（华东）,50-75K,睿磐电子,上海·普陀区·长寿路,5-10年本科
交付实施工程师,8-10K,共启网络,上海,1-3年大专
高级商务经理,11-16K·13薪,嘉洪信息,上海·浦东新区·曹路,5-10年本科
售前解决方案管培生,15-30K·13薪,华控清交信息科技...,上海·徐汇区·漕河泾,在校/应届本科
客户技术专家-班智BU,25-50K·15薪,斑马网络,上海·闵行区·华漕,5-10年本科
云计算售前工程师,4-6K,北京联合伟世,上海·徐汇区·徐家汇,1年以内大专
AI交付研发工程师,20-40K·16薪,百度,上海·浦东新区,5-10年本科
软件开发专家,50-70K·13薪,NIO蔚来,上海·嘉定区·安亭,5-10年本科
Java工程师（热招!高薪+五险一金）,17-26K,智能聚合,上海·浦东新区·塘桥,3-5年大专
后端开发工程师,15-25K,蚁想,上海·徐汇区·漕河泾,3-5年大专
安全服务工程师（2022届应届毕业生）,200-300元/天,青藤,上海·浦东新区·张江,5天/周6个月本科
数据开发高级工程师,15-20K·13薪,上海天旦,上海·浦东新区·陆家嘴,3-5年本科
RPA实施开发工程师,9-14K·13薪,奔腾达,上海·徐汇区·田林,1-3年大专
云计算系统工程师（上海）,10-15K·14薪,华讯网络,上海·浦东新区·塘桥,经验不限本科
售前顾问/管培生,9-14K·13薪,适途汽车,上海·浦东新区·康桥,经验不限大专
基础架构实施工程师/运维工程师,10-15K,思询科技,上海·浦东新区·金桥,3-5年大专
网络工程师,8-12K·13薪,优网信息,上海·徐汇区·徐家汇,1-3年大专
日语翻译,12-18K·13薪,博彦科技,上海·闵行区·吴泾,3-5年本科
nk工艺开发研究员,13-20K·15薪,恒润达生生物制药,上海·浦东新区·张江,经验不限学历不限
售前技术支持,10-15K·13薪,睿云,上海·普陀区·长征,1年以内本科
售前支持,8-12K·13薪,正先电子,上海·静安区·大宁,1-3年大专
硬件工程师-A,15-20K,中科曙光,上海·浦东新区·张江,3-5年本科
高级安全工程师(T011908),30-60K·14薪,拼多多,上海,经验不限本科
IT运维-SRE运维工程师-五星自助包三餐,8-13K,法本,上海·闵行区·虹梅路,1-3年本科
高级系统架构师（SaaS方向） (MJ000391),20-30K·13薪,仟传,上海·徐汇区·音乐学院,5-10年本科
产品经理,11-20K,德帆科技,上海,3-5年大专
产品技术支持,8-11K·13薪,杭州默安科技有限公司,上海·浦东新区·陆家嘴,1-3年大专
英语自动化测试工程师,24-30K·13薪,嘉茂多媒体科技,上海·浦东新区·陆家嘴,5-10年本科
技术支持（偏售前）,10-15K·13薪,数字联盟,上海·长宁区·新华路,1-3年本科
测试工程师,15-30K·15薪,华为,上海,经验不限本科
交付实施工程师-上海,20-30K·14薪,趋动科技,上海·静安区·火车站,5-10年大专
漏洞分析工程师,15-25K·15薪,铭图天成,上海·浦东新区·张江,1-3年本科
售前工程师,20-25K,凌锐蓝信,上海·徐汇区·徐家汇,5-10年本科
售前技术支持,8-13K·13薪,上海岱智,上海·闵行区·莘庄,1-3年大专
Data Science数据科学家,25-40K,奇利匙,上海·浦东新区·塘桥,5-10年本科
Python开发工程师（智能交易方向）,15-30K·13薪,金仕达,上海·浦东新区·张江,经验不限本科
销售,15-30K·13薪,量锐科技,上海·黄浦区·人民广场,经验不限本科
安全开发/安全攻防/移动安全/数据安全-上海,35-65K·16薪,得物App,上海·杨浦区·五角场,5-10年本科
资深解决方案工程师,15-30K·14薪,炎凰数据,上海·杨浦区·五角场,3-5年本科
售前咨询顾问/方案经理,18-25K·15薪,易谷网络,上海·嘉定区·江桥,经验不限本科
售前,24-40K·14薪,cloudchef,上海·杨浦区·延吉,3-5年大专
渗透测试,15-25K·13薪,上海上讯信息科技,上海·浦东新区·张江,1-3年大专
入侵对抗专家,25-50K·15薪,美团,上海·长宁区·北新泾,5-10年本科
售前工程师（信息安全）,17-30K·15薪,观源上海科技有限公司,上海,经验不限大专
售前总监,20-40K·13薪,容智信息,上海·黄浦区·新天地,5-10年本科
解决方案架构师（金融行业）/偏售前,18-23K,DaoCloud,上海·杨浦区·五角场,10年以上本科
高级交付经理,20-35K,九章云极,上海·浦东新区·曹路,5-10年本科
客户服务经理（发展方向为安全专家）,12-20K·14薪,深信服科技,上海·普陀区·曹杨,3-5年本科
大数据工程师,14-25K·14薪,上海启疆信息,上海·闵行区·莘庄,3-5年本科
初级MySQL DBA,12-20K,热璞数据库,上海·长宁区·北新泾,1-3年本科
RPA工程师,12-18K·14薪,上海趋研信息科技,上海·闵行区·莘庄,1-3年大专
数据治理专家（智慧城市方向）,20-40K·15薪,天翼云,上海·浦东新区·三林,5-10年本科
技术支持工程师,10-15K·14薪,全知科技,上海·长宁区·北新泾,3-5年大专
